region,tech,mw,entry_year,p_cod_3y_mean,p_cod_3y_lo90,p_cod_3y_hi90,p_cod_5y_mean,p_cod_5y_lo90,p_cod_5y_hi90,p_cod_7y_mean,p_cod_7y_lo90,p_cod_7y_hi90,p_withdrawn_5y_mean
Southeast,Wind,800,2021,0.0234,0.0146,0.0407,0.0698,0.0413,0.0927,0.118,0.0774,0.1395,0.5442
Southeast,Wind,800,2022,0.0209,0.0122,0.0337,0.062,0.0366,0.0825,0.1082,0.0717,0.1275,0.5524
Southeast,Wind,800,2023,0.019,0.0095,0.0292,0.0565,0.0334,0.077,0.1013,0.0699,0.1213,0.5511
Southeast,Wind,800,2024,0.0181,0.0084,0.028,0.0536,0.035,0.072,0.0982,0.0733,0.1155,0.5441
Southeast,Wind,800,2025,0.0169,0.0067,0.0265,0.0497,0.0379,0.0639,0.0923,0.0683,0.1093,0.5504
Southeast,Battery,50,2020,0.0972,0.0667,0.1351,0.1595,0.1325,0.1868,0.195,0.165,0.2226,0.4815
Southeast,Battery,50,2021,0.0914,0.0658,0.1192,0.1499,0.1198,0.1708,0.1833,0.1495,0.2089,0.4791
Southeast,Battery,50,2022,0.0803,0.0527,0.098,0.133,0.102,0.1568,0.1647,0.1326,0.19,0.4819
Southeast,Battery,50,2023,0.0658,0.0362,0.0941,0.1113,0.0767,0.1558,0.1413,0.109,0.1887,0.4843
Southeast,Battery,50,2024,0.0545,0.0245,0.0966,0.0951,0.0586,0.1513,0.126,0.0829,0.1824,0.4869
Southeast,Battery,50,2025,0.0436,0.0125,0.086,0.0779,0.0409,0.1356,0.1087,0.0612,0.1662,0.5271
Southeast,Battery,100,2020,0.0554,0.03,0.0977,0.1167,0.0928,0.1515,0.158,0.1314,0.1835,0.5323
