lon,lat,sqft,state_abb,operator,type
-97.69796494527762,30.205929677925745,77356.0,TX,,building
-97.69607393452048,30.215503976280196,50461.0,TX,,building
-77.4454155025337,39.04872822028961,349987.0,VA,,building
-97.7126675657396,30.21429715095225,30876.0,TX,,building
-87.9735185179455,41.99366849754896,174575.0,IL,Skybox,building
-121.93101655253416,37.48986462008944,33640.0,CA,Hurricane Electric,building
-82.71902751224367,41.4324305009821,633484.0,OH,Aligned Data Centers,building
-97.71239983833571,30.196499004972576,74722.0,TX,,building
-97.71378843935518,30.198926082371678,137095.0,TX,,building
-121.92211346250495,37.47533720746737,65815.0,CA,XO,building
-121.92031059714007,37.471827238512944,181268.0,CA,Hurricane Electric,building
-97.69617577010004,30.342800020345656,61978.0,TX,,building
-87.96468543810447,41.97576175006559,92076.0,IL,Element Critical,building
-74.17392520750958,40.73672574708444,89363.0,NJ,Tishman,building
-84.06107488394335,34.03538969563108,310488.0,GA,Quality Technology Services,building
-84.0577034926908,34.03709880816788,360379.0,GA,Quality Technology Services,building
-92.44472351005184,34.75623579847398,31845.0,AR,,building
-122.01456250837072,37.39960173949957,21678.0,CA,Equinix,building
-84.19856192066597,33.95476871472785,32309.0,GA,Flexential,building
-122.3016903104198,47.84181079877673,104460.0,WA,Centersquare,building
-120.87507749015272,44.28941552511668,9228.0,OR,Apple,building
-104.78726998003246,38.98574620589175,219542.0,CO,Walmart,building
-96.0277741269746,41.33832138450139,11836.0,NE,,building
-96.02861432583268,41.33843614997797,87375.0,NE,,building
-86.67309882783594,34.73654090277783,14919.0,AL,Alabama Supercomputer Authority,building
-87.85923594325138,41.92837828612005,90165.0,IL,Digital Realty,building
-119.86448737759343,47.23763280547861,36918.0,WA,,building
-119.88299787007462,47.23947854795628,151246.0,WA,Microsoft,building
-119.88308360926234,47.23857484529072,147922.0,WA,Microsoft,building
-119.85940592515068,47.23948769629937,46835.0,WA,,building
-104.90530165717428,41.12341444962218,8353216.0,WY,Microsoft,campus
-104.90187602195962,41.1262309898459,140780.0,WY,,building
-122.34815288067006,47.619324932166734,45743.0,WA,,building
-122.34859631775392,47.61891975961567,20239.0,WA,,building
-96.08338762268534,41.16546905416773,40714.0,NE,Fidelity,building
-118.38631267027328,33.91772905166227,71500.0,CA,Centurylink,building
-118.38643608724033,33.92174167558056,119102.0,CA,Serverfarm LLC.,building
-118.38463005026092,33.9156488974591,113310.0,CA,Digital Realty,building
-104.98324467111505,39.92241855755477,86059.0,CO,Google,building
-118.25751427697324,34.04732574551566,66979.0,CA,,building
-118.25554585155656,34.04789230531704,43850.0,CA,,building
-82.29992999372256,29.672591133291224,36370.0,FL,University of Florida,building
-77.41452291234779,39.02594651093395,265601.0,VA,CyrusOne,building
-80.19307541186281,25.782378977030262,122625.0,FL,,building
-80.230033722435,25.79754440402661,15911.0,FL,,building
-77.43403366059391,39.02432710048146,506948.0,VA,CyrusOne,building
-93.82494906980826,41.540615955851,39146.0,IA,Microsoft,building
-93.51472775765038,41.6642411277008,315400.0,IA,Meta,building
-93.5081704115336,41.66553719114288,307370.0,IA,Meta,building
-117.80580094927475,33.716777907497594,85658.0,CA,,building
-117.42000258764048,47.654225584825305,25399.0,WA,Lumen Technologies,building
-89.43673598135521,43.06728877873921,9176.0,WI,,building
-77.97818714607277,38.454936889103365,1299936.0,VA,Equinix,campus
-121.88797542273252,37.33363768871057,102004.0,CA,,building
-74.06556019989502,40.78413403768732,150951.0,NJ,,building
-74.06804834898094,40.787550185315126,101304.0,NJ,Evocative,building
-74.13418574563293,40.82145355154189,107857.0,NJ,bt,building
-104.8603774822199,39.5989600863557,33804.0,CO,,building
-104.86018232055083,39.59993080115642,61435.0,CO,,building
-97.7011142781365,30.206993743520524,189921.0,TX,,building
-74.10158204974093,40.15704355065648,25904.0,NJ,Apollo,building
-72.88334530997138,40.84365992460773,36746.0,NY,,building
-77.45151283533546,39.02101419483995,152397.0,VA,Equinix,building
-77.45106545332197,39.0265748165722,1088049.0,VA,Amazon Web Services,campus
-77.4586618970949,39.02886985735719,1022344.0,VA,Amazon Web Services,campus
-77.49198694607598,38.91580512574743,152289.0,VA,Amazon Web Services,building
-77.44219586774605,38.9865020849492,709715.0,VA,,campus
-77.43650684069107,38.991413813734994,64127.0,VA,Amazon Web Services,building
-77.43706177436276,38.990567610094665,78441.0,VA,Amazon Web Services,building
-77.44882479290187,38.99069899784283,75817.0,VA,Amazon Web Services,building
-77.44857953268574,38.99169289545036,103452.0,VA,Amazon Web Services,building
-77.54821678521624,38.78993178096453,118192.0,VA,Amazon Web Services,building
-77.54844963730864,38.79222600770484,127281.0,VA,Amazon Web Services,building
-77.54837196346583,38.79106882111887,126699.0,VA,Amazon Web Services,building
-82.75171093377944,40.09388273554784,1106310.0,OH,Amazon Web Services,campus
-83.13425799033122,40.05990219147888,2578490.0,OH,Amazon Web Services us-east-2 datacenter,campus
-119.26632355,45.91583559984652,2605.0,OR,,building
-119.2665274,45.915835599846574,2608.0,OR,,building
-119.26672585,45.91583559984652,2605.0,OR,,building
-119.26711215,45.91583559984655,2605.0,OR,,building
-119.26731594999998,45.91584309984662,2605.0,OR,,building
-119.26751175,45.91583189984655,2605.0,OR,,building
-119.26771695000002,45.91583559984655,2605.0,OR,,building
-119.26777584933068,45.91640356429687,133053.0,OR,Amazon Web Services,building
-119.65276874957644,45.84100319369004,127483.0,OR,Amazon Web Services,building
-119.62988821726834,45.85223533738975,267452.0,OR,Amazon Web Services,building
-119.6305237000272,45.85088075126984,103260.0,OR,Amazon Web Services,building
-121.88842909046676,37.38826955704538,109684.0,CA,Equinix,building
-122.39046904827536,37.78873103633594,39318.0,CA,Digital Realty,building
-81.82213877550394,35.3142312569782,241126.0,NC,Meta,building
-81.82632689449466,35.31737236865609,244176.0,NC,Meta,building
-121.88929689106432,37.40390424000007,75249.0,CA,NTT Limited,building
-121.96982954691394,37.37043804478318,83921.0,CA,Csquare,building
